Start Time	End Time	Transportation Mode
2007/04/13 15:00:00	2007/04/13 15:42:54	taxi
2007/04/14 03:00:00	2007/04/14 04:00:00	bike
2007/04/14 14:00:00	2007/04/14 15:00:00	bike
2007/04/15 00:30:00	2007/04/15 09:06:57	bike
2007/04/15 10:44:58	2007/04/15 11:03:10	taxi
2007/04/16 14:44:10	2007/04/16 15:13:37	taxi
2007/04/17 14:46:00	2007/04/17 14:54:00	taxi
2007/04/18 00:46:20	2007/04/18 00:55:00	bus
2007/04/18 00:55:00	2007/04/18 00:59:45	walk
2007/04/18 01:00:44	2007/04/18 01:25:52	bus
2007/04/18 01:26:02	2007/04/18 01:33:16	walk
2007/04/18 13:36:22	2007/04/18 14:19:09	bike
2007/04/19 00:36:25	2007/04/19 00:45:47	walk
2007/04/19 00:46:46	2007/04/19 01:04:27	bus
2007/04/19 01:04:48	2007/04/19 01:06:15	walk
2007/04/19 01:06:51	2007/04/19 01:35:47	bus
2007/04/19 01:37:08	2007/04/19 01:47:38	walk
2007/04/19 13:18:53	2007/04/19 14:04:28	taxi
2007/04/20 01:02:23	2007/04/20 01:20:47	bus
2007/04/20 01:22:25	2007/04/20 01:29:01	walk
2007/04/21 01:14:00	2007/04/21 03:48:00	bike
2007/04/21 03:48:00	2007/04/21 08:59:00	walk
2007/04/21 11:20:00	2007/04/21 11:28:00	taxi
2007/04/23 14:21:00	2007/04/23 14:32:00	taxi
2007/06/08 23:20:00	2007/06/09 06:34:00	bike
2007/06/10 09:46:00	2007/06/10 10:04:00	taxi
2007/06/15 22:41:00	2007/06/15 23:11:00	taxi
2007/06/15 23:12:00	2007/06/16 05:28:00	car
2007/06/16 16:00:00	2007/06/17 15:59:59	car
2007/09/05 00:20:00	2007/09/05 05:17:00	airplane
2007/09/05 10:03:06	2007/09/05 11:03:00	walk
2007/09/05 11:03:00	2007/09/05 11:16:00	taxi
2007/09/07 00:24:00	2007/09/07 00:35:00	bus
2007/09/07 02:47:00	2007/09/07 06:01:00	bus
2007/09/07 06:03:00	2007/09/07 06:31:00	walk
2007/09/07 06:31:00	2007/09/07 09:42:00	bike
