Start Time	End Time	Transportation Mode
2007/05/09 14:48:28	2007/05/09 15:00:03	taxi
2007/05/13 02:27:42	2007/05/13 03:33:15	car
2007/05/13 03:47:05	2007/05/13 04:24:42	car
2007/05/13 23:26:53	2007/05/14 00:03:05	car
2007/05/15 00:46:24	2007/05/15 00:56:51	walk
2007/05/15 13:41:41	2007/05/15 14:01:51	taxi
2007/05/16 01:31:27	2007/05/16 01:33:05	walk
2007/05/19 08:58:18	2007/05/19 09:01:36	walk
2007/05/19 09:02:10	2007/05/19 09:49:54	bus
2007/05/19 09:50:58	2007/05/19 10:00:49	taxi
2007/05/19 12:13:22	2007/05/19 12:31:29	car
2007/05/21 13:30:26	2007/05/21 13:36:04	taxi
2007/05/21 13:36:12	2007/05/21 15:09:35	walk
2007/05/21 14:44:29	2007/05/21 14:45:36	walk
2007/05/21 14:46:14	2007/05/21 15:05:20	taxi
2007/05/23 13:03:17	2007/05/23 13:25:00	bus
2007/05/23 13:26:37	2007/05/23 13:35:41	walk
2007/05/24 00:49:11	2007/05/24 00:59:34	walk
2007/05/24 01:00:27	2007/05/24 01:09:15	bus
2007/05/24 01:18:09	2007/05/24 01:28:17	bus
2007/05/24 01:29:15	2007/05/24 01:36:58	taxi
2007/05/26 02:16:18	2007/05/26 02:27:18	taxi
2007/05/26 02:44:23	2007/05/26 03:08:46	car
2007/05/26 03:24:32	2007/05/26 04:13:08	car
2007/05/26 05:52:44	2007/05/26 06:46:49	car
2007/05/26 07:39:05	2007/05/26 08:08:49	car
2007/05/26 08:22:58	2007/05/26 08:50:32	car
2007/06/01 00:41:46	2007/06/01 00:50:58	walk
2007/06/01 00:59:16	2007/06/01 01:30:11	bus
2007/06/01 01:30:11	2007/06/01 01:32:58	walk
2007/06/03 09:50:25	2007/06/03 09:59:16	walk
2007/06/03 12:35:08	2007/06/03 12:49:24	walk
2007/06/03 12:53:59	2007/06/03 13:10:18	taxi
