Start Time	End Time	Transportation Mode
2008/03/01 03:07:00	2008/03/01 03:40:00	walk
2008/03/01 03:44:00	2008/03/01 04:07:00	bus
2008/03/01 04:07:00	2008/03/01 05:30:00	walk
2008/03/01 05:30:00	2008/03/01 05:55:00	car
2008/03/01 05:55:00	2008/03/01 06:16:00	walk
2008/03/02 07:29:00	2008/03/02 07:31:00	walk
2008/03/02 07:31:00	2008/03/02 07:55:00	bus
2008/03/10 17:10:00	2008/03/10 17:28:00	bike
2008/03/11 01:58:00	2008/03/11 02:18:00	bike
2008/03/11 16:09:00	2008/03/11 16:23:00	bike
2008/03/12 01:46:10	2008/03/12 01:49:21	bike
2008/03/12 01:58:21	2008/03/12 02:30:00	bike
2008/03/13 16:03:00	2008/03/13 16:17:00	bike
2008/03/14 07:06:00	2008/03/14 07:17:56	bike
2008/03/14 09:03:00	2008/03/14 09:31:30	bike
2008/03/14 09:40:00	2008/03/14 09:59:00	walk
2008/03/14 10:34:00	2008/03/14 10:49:00	walk
2008/03/14 13:41:00	2008/03/14 14:01:00	walk
2008/03/14 14:02:00	2008/03/14 14:21:00	train
2008/03/14 18:21:00	2008/03/14 18:38:00	bike
2008/03/15 05:23:00	2008/03/15 05:53:00	bike
2008/03/15 08:00:00	2008/03/15 08:11:00	bus
2008/03/15 08:44:00	2008/03/15 08:48:00	walk
2008/03/15 13:12:00	2008/03/15 13:29:00	walk
2008/03/15 13:52:00	2008/03/15 14:03:00	bike
2008/03/16 01:07:00	2008/03/16 01:25:00	bike
2008/03/17 12:36:00	2008/03/17 12:52:00	walk
2008/03/17 14:22:00	2008/03/17 14:39:00	walk
2008/03/17 14:39:00	2008/03/17 15:34:00	train
2008/03/17 15:34:00	2008/03/17 15:37:00	walk
2008/03/19 16:41:31	2008/03/19 17:01:06	bike
2008/03/20 01:51:40	2008/03/20 02:05:19	bike
2008/03/20 02:09:19	2008/03/20 02:27:01	bike
2008/03/20 02:27:06	2008/03/20 02:27:12	walk
2008/03/20 15:11:09	2008/03/20 15:25:40	bike
2008/03/21 01:45:57	2008/03/21 02:14:26	bike
2008/03/21 18:52:41	2008/03/21 19:08:59	bike
2008/03/22 05:13:33	2008/03/22 05:27:32	bike
2008/03/22 16:22:40	2008/03/22 16:39:19	bike
2008/03/23 01:34:11	2008/03/23 02:16:25	bike
2008/03/23 12:37:41	2008/03/23 13:03:35	bus
2008/03/23 13:03:36	2008/03/23 13:09:21	walk
2008/03/23 18:43:31	2008/03/23 18:58:47	walk
2008/03/24 01:35:53	2008/03/24 02:02:35	bike
2008/03/24 01:44:12	2008/03/24 02:03:12	bike
2008/03/24 09:40:10	2008/03/24 09:59:38	bike
2008/03/25 01:35:52	2008/03/25 02:02:35	bike
2008/03/27 16:09:59	2008/03/27 16:24:41	bike
2008/03/28 01:52:16	2008/03/28 02:14:35	bike
2008/03/28 04:08:33	2008/03/28 04:20:20	car
