Start Time	End Time	Transportation Mode
2008/09/14 13:03:08	2008/09/14 13:13:13	bike
2008/09/15 02:37:31	2008/09/15 06:08:51	bike
2008/09/15 10:17:05	2008/09/15 10:29:55	bike
2008/09/15 12:30:30	2008/09/15 12:50:38	bike
2008/09/16 03:13:38	2008/09/16 03:17:03	bike
2008/09/16 03:17:08	2008/09/16 03:25:03	walk
2008/09/16 03:25:08	2008/09/16 03:31:43	bike
2008/09/16 04:15:50	2008/09/16 04:22:25	bike
2008/09/16 04:47:50	2008/09/16 04:49:35	bike
2008/09/16 04:51:50	2008/09/16 04:53:30	bike
2008/09/16 06:45:10	2008/09/16 06:50:05	bike
2008/09/16 07:06:30	2008/09/16 07:26:15	bike
2008/09/16 07:33:45	2008/09/16 07:36:20	walk
2008/09/16 07:56:15	2008/09/16 08:21:30	bus
2008/09/16 08:21:35	2008/09/16 08:44:49	walk
2008/09/16 08:56:19	2008/09/16 09:32:24	walk
2008/09/18 04:53:34	2008/09/18 05:00:35	bike
2008/09/18 05:22:05	2008/09/18 05:33:30	bike
2008/09/18 09:27:26	2008/09/18 09:34:01	bike
2008/09/18 11:42:43	2008/09/18 12:26:43	bike
2008/09/18 12:49:08	2008/09/18 12:54:48	walk
2008/09/20 08:15:47	2008/09/20 08:23:23	walk
2008/09/20 08:26:43	2008/09/20 09:28:43	bus
2008/09/20 09:28:45	2008/09/20 09:55:05	walk
2008/09/20 13:03:29	2008/09/20 13:17:59	car
2008/09/20 13:17:59	2008/09/20 13:26:11	walk
2008/09/29 08:49:30	2008/09/29 09:23:25	bike
2008/09/29 10:54:05	2008/09/29 11:13:57	bus
2008/09/29 13:10:53	2008/09/29 13:33:01	bus
2008/09/29 13:33:01	2008/09/29 13:36:35	walk
2008/09/29 14:21:53	2008/09/29 14:32:09	bike
2008/09/30 03:23:35	2008/09/30 03:30:47	walk
2008/09/30 03:30:47	2008/09/30 03:35:37	bus
2008/09/30 03:35:37	2008/09/30 03:58:42	walk
2008/09/30 03:58:42	2008/09/30 04:43:06	bus
2008/09/30 07:28:00	2008/09/30 08:57:06	bus
2008/09/30 11:37:05	2008/09/30 11:53:39	bike
2008/09/30 12:10:30	2008/09/30 12:24:34	bike
2008/09/30 12:58:50	2008/09/30 13:31:04	bike
2008/10/02 03:47:23	2008/10/02 04:00:05	walk
2008/10/02 04:00:05	2008/10/02 05:00:33	bus
2008/10/02 07:17:24	2008/10/02 07:28:22	walk
2008/10/02 09:22:13	2008/10/02 09:48:55	walk
2008/10/02 13:18:53	2008/10/02 13:27:35	walk
2008/10/02 14:17:49	2008/10/02 14:35:29	walk
2008/10/02 23:00:28	2008/10/03 00:23:01	bus
2008/10/03 00:23:01	2008/10/03 00:51:37	walk
2008/10/03 00:51:37	2008/10/03 01:48:59	bus
2008/10/03 01:48:59	2008/10/03 01:56:07	walk
2008/10/03 08:21:36	2008/10/03 08:50:16	bike
2008/10/03 09:56:55	2008/10/03 11:07:35	bike
2008/10/03 13:27:35	2008/10/03 13:45:01	bike
2008/10/04 03:27:00	2008/10/04 03:38:06	bike
2008/10/04 04:46:47	2008/10/04 05:00:53	bike
2008/10/04 11:50:45	2008/10/04 12:15:05	walk
2008/10/04 12:15:05	2008/10/04 12:36:51	bus
2008/10/04 12:36:51	2008/10/04 12:52:05	walk
2008/10/04 12:52:05	2008/10/04 13:08:59	bus
2008/10/04 13:08:59	2008/10/04 13:24:43	walk
2008/10/04 14:04:40	2008/10/04 14:27:10	bus
2008/10/05 08:34:05	2008/10/05 09:29:42	bike
2008/10/05 10:27:32	2008/10/05 11:04:52	bike
2008/10/05 13:56:00	2008/10/05 14:11:50	bike
2008/10/06 10:44:04	2008/10/06 10:57:21	bike
2008/10/06 13:07:05	2008/10/06 13:29:55	bike
2008/10/07 03:49:06	2008/10/07 04:00:10	bike
2008/10/07 06:15:27	2008/10/07 06:47:01	bike
2008/10/07 08:01:12	2008/10/07 08:21:33	bike
2008/10/07 10:07:12	2008/10/07 10:18:05	bike
2008/10/07 10:56:33	2008/10/07 11:26:20	bike
2008/10/07 13:14:00	2008/10/07 13:29:32	bike
2008/10/08 10:06:30	2008/10/08 10:17:58	bike
2008/10/08 13:22:37	2008/10/08 13:44:25	bike
2008/10/09 08:21:59	2008/10/09 08:31:17	bike
2008/10/09 08:56:23	2008/10/09 09:17:49	bike
2008/10/09 11:08:32	2008/10/09 11:21:40	bike
2008/10/10 04:57:41	2008/10/10 05:21:41	bike
2008/10/10 10:52:39	2008/10/10 11:14:45	bike
2008/10/10 11:22:05	2008/10/10 11:31:35	bike
2008/10/10 13:37:44	2008/10/10 14:13:50	bike
2008/10/11 08:02:06	2008/10/11 08:21:18	walk
