Start Time	End Time	Transportation Mode
2011/10/19 00:50:41	2011/10/19 01:02:06	walk
2011/10/19 01:02:16	2011/10/19 01:12:46	bus
2011/10/19 01:12:51	2011/10/19 01:21:36	walk
2011/10/20 22:25:05	2011/10/20 22:35:20	bike
2011/10/21 14:35:03	2011/10/21 14:41:43	bus
2011/10/21 14:41:48	2011/10/21 14:57:53	walk
2011/10/22 09:21:35	2011/10/22 09:27:35	bike
2011/10/22 09:53:41	2011/10/22 10:02:36	bike
2011/10/22 10:02:41	2011/10/22 10:03:26	walk
2011/10/23 10:18:03	2011/10/23 10:25:04	walk
2011/10/23 16:36:34	2011/10/23 17:47:39	walk
2011/10/24 12:29:39	2011/10/24 12:30:59	walk
2011/10/27 07:34:08	2011/10/27 07:44:48	bike
2011/10/27 08:55:32	2011/10/27 09:03:12	bike
2011/10/29 07:13:06	2011/10/29 07:22:51	bike
2011/11/01 01:26:35	2011/11/01 01:38:50	bike
2011/11/01 12:22:52	2011/11/01 12:23:17	walk
2011/11/03 04:37:55	2011/11/03 04:52:00	bike
2011/11/03 09:30:33	2011/11/03 10:43:22	walk
2011/11/04 19:40:05	2011/11/04 19:48:35	bike
2011/11/05 07:10:22	2011/11/05 07:14:47	bus
2011/11/05 07:14:52	2011/11/05 07:33:07	walk
2011/11/08 01:57:55	2011/11/08 01:59:00	walk
2011/11/08 01:59:05	2011/11/08 02:06:50	bus
2011/11/08 02:06:55	2011/11/08 02:10:40	walk
2011/11/08 20:48:03	2011/11/08 20:52:43	bike
2011/11/09 04:34:30	2011/11/09 04:44:45	bike
2011/11/09 11:15:37	2011/11/09 11:25:02	walk
2011/11/10 20:02:38	2011/11/10 20:11:58	bike
2011/11/11 02:27:37	2011/11/11 02:41:37	bike
2011/11/12 12:47:35	2011/11/12 12:49:25	walk
2011/11/14 05:42:30	2011/11/14 07:35:58	bus
2011/11/14 07:36:03	2011/11/14 07:44:18	walk
2011/11/15 01:24:32	2011/11/15 01:37:07	bus
2011/11/15 01:37:12	2011/11/15 01:46:17	walk
2011/12/07 03:28:35	2011/12/07 03:33:05	walk
2011/12/07 03:33:10	2011/12/07 03:43:45	bus
2011/12/07 03:43:55	2011/12/07 03:49:20	walk
2011/12/07 16:27:04	2011/12/07 16:31:29	taxi
2011/12/07 16:31:34	2011/12/07 16:34:34	walk
2011/12/19 02:17:55	2011/12/19 02:22:50	bus
2011/12/19 02:22:55	2011/12/19 02:29:20	walk
2011/12/24 11:17:15	2011/12/24 11:22:25	walk
2011/12/26 02:38:08	2011/12/26 02:44:13	walk
2011/12/26 02:44:18	2011/12/26 02:55:33	bus
2011/12/26 02:55:38	2011/12/26 03:01:53	walk
2011/12/27 01:54:30	2011/12/27 01:57:35	walk
2011/12/27 01:57:40	2011/12/27 02:04:55	bus
2011/12/27 02:05:00	2011/12/27 02:13:35	walk
2011/12/30 04:04:08	2011/12/30 04:08:23	walk
2011/12/30 04:08:28	2011/12/30 04:18:43	bus
2011/12/30 04:18:48	2011/12/30 04:24:13	walk
2011/12/31 07:55:05	2011/12/31 08:04:30	bus
2011/12/31 08:04:35	2011/12/31 08:14:00	walk
2011/12/31 14:44:37	2011/12/31 14:56:02	walk
2011/12/31 14:56:07	2011/12/31 15:16:47	taxi
2011/12/31 15:16:52	2011/12/31 15:18:07	walk
