Start Time	End Time	Transportation Mode
2007/05/02 13:07:44	2007/05/02 13:25:19	bus
2007/05/02 13:25:24	2007/05/02 13:44:04	walk
2007/05/03 00:18:14	2007/05/03 03:04:44	walk
2007/05/05 22:50:30	2007/05/05 22:53:30	walk
2007/05/05 22:53:35	2007/05/05 23:21:50	bus
2007/05/05 23:21:55	2007/05/05 23:58:35	walk
2007/05/06 09:03:31	2007/05/06 09:29:11	walk
2007/05/06 09:29:16	2007/05/06 10:24:56	bus
2007/05/06 10:25:01	2007/05/06 11:40:46	walk
2007/05/07 01:37:33	2007/05/07 01:43:43	walk
2007/05/07 01:43:48	2007/05/07 02:12:18	bus
2007/05/07 02:12:23	2007/05/07 02:45:13	walk
2007/05/07 02:45:18	2007/05/07 03:31:13	bus
2007/05/07 03:31:18	2007/05/07 04:39:58	walk
2007/05/10 02:03:10	2007/05/10 03:13:40	bus
2007/05/10 02:51:55	2007/05/10 03:03:05	walk
2007/05/10 03:13:45	2007/05/10 03:16:30	walk
2007/05/10 03:59:05	2007/05/10 04:21:30	walk
2007/05/10 04:21:35	2007/05/10 04:26:50	bus
2007/05/10 04:26:55	2007/05/10 04:36:10	walk
2007/05/11 22:50:09	2007/05/11 23:12:39	walk
2007/05/11 22:50:44	2007/05/11 23:54:04	bus
2007/05/11 22:59:57	2007/05/11 23:20:57	walk
2007/05/11 23:21:02	2007/05/12 00:04:02	bus
2007/05/11 23:54:09	2007/05/12 00:00:24	walk
2007/05/12 00:04:07	2007/05/12 00:12:52	walk
2007/05/13 07:45:06	2007/05/13 07:47:21	walk
2007/05/13 07:47:26	2007/05/13 08:08:56	bus
2007/05/13 08:09:01	2007/05/13 08:15:06	walk
2007/05/14 22:36:58	2007/05/14 22:39:13	walk
2007/05/14 22:40:28	2007/05/14 22:50:08	bus
2007/05/14 22:50:13	2007/05/14 23:04:08	walk
2007/05/15 07:37:36	2007/05/15 07:51:29	walk
2007/05/15 07:51:34	2007/05/15 08:09:04	bus
2007/05/15 08:09:09	2007/05/15 08:11:04	walk
2007/05/15 08:11:09	2007/05/15 08:14:29	bus
2007/05/15 08:14:34	2007/05/15 08:29:28	walk
2008/02/13 06:12:50	2008/02/13 06:23:54	bus
2008/02/13 06:31:26	2008/02/13 06:37:35	walk
2008/02/16 05:28:17	2008/02/16 05:35:03	walk
2008/02/16 05:35:08	2008/02/16 05:50:28	train
2008/02/16 06:16:40	2008/02/16 09:36:04	walk
2008/02/19 22:38:55	2008/02/19 22:47:42	walk
2008/02/19 22:51:42	2008/02/19 23:32:14	bus
2008/02/19 23:36:14	2008/02/20 03:47:01	walk
2008/02/20 03:51:01	2008/02/20 03:54:03	bus
2008/02/20 04:14:49	2008/02/20 05:07:07	walk
2008/02/20 22:57:42	2008/02/20 23:14:26	bus
2008/02/25 22:49:17	2008/02/25 22:58:15	walk
2008/02/25 22:58:17	2008/02/25 23:31:56	bus
2008/02/25 23:31:59	2008/02/25 23:42:17	walk
2008/02/26 22:50:37	2008/02/26 23:08:48	walk
2008/02/27 09:09:19	2008/02/27 09:18:25	walk
2008/02/27 11:59:37	2008/02/27 12:27:51	walk
2008/02/27 22:53:33	2008/02/27 23:05:07	walk
2008/05/01 00:17:38	2008/05/01 00:19:23	walk
2008/05/01 00:19:28	2008/05/01 01:11:55	bus
2008/05/01 01:12:00	2008/05/01 01:29:00	walk
2008/05/01 02:35:58	2008/05/01 03:23:48	bus
2008/05/01 03:23:53	2008/05/01 03:27:03	walk
2008/05/02 08:28:27	2008/05/02 08:31:47	walk
2008/05/02 08:31:52	2008/05/02 08:55:47	bus
2008/05/02 08:55:52	2008/05/02 09:41:37	walk
2008/05/02 09:41:42	2008/05/02 09:46:07	taxi
2008/05/02 09:46:12	2008/05/02 13:07:39	walk
2008/05/15 22:56:36	2008/05/15 23:19:56	bus
2008/05/15 23:19:58	2008/05/15 23:30:00	walk
