Start Time	End Time	Transportation Mode
2007/04/12 10:21:16	2007/04/12 14:56:56	bike
2007/04/12 10:22:03	2007/04/12 10:26:25	walk
2007/04/13 00:53:06	2007/04/13 01:06:15	bike
2007/04/13 05:19:33	2007/04/13 05:27:34	taxi
2007/04/13 07:01:26	2007/04/13 07:18:02	taxi
2007/04/13 10:59:58	2007/04/13 11:02:27	walk
2007/04/13 14:41:33	2007/04/13 14:45:58	walk
2007/04/13 14:48:55	2007/04/13 15:05:58	taxi
2007/04/14 02:31:39	2007/04/14 02:44:24	walk
2007/04/14 02:48:15	2007/04/14 03:06:59	bus
2007/04/14 03:07:05	2007/04/14 03:09:24	walk
2007/04/16 13:02:52	2007/04/16 13:04:28	walk
2007/04/16 13:04:44	2007/04/16 13:19:15	bus
2007/04/16 13:19:34	2007/04/16 13:29:50	walk
2007/04/17 01:43:30	2007/04/17 02:00:01	bus
2007/04/17 02:00:08	2007/04/17 02:03:14	walk
2007/04/17 13:01:53	2007/04/17 13:04:58	walk
2007/04/17 13:25:05	2007/04/17 13:35:15	walk
2007/04/17 13:30:15	2007/04/17 13:42:16	walk
2007/04/18 02:09:57	2007/04/18 02:31:34	bus
2007/04/19 13:15:11	2007/04/19 13:26:46	walk
2007/04/19 15:09:11	2007/04/19 15:23:44	taxi
2007/04/20 02:35:57	2007/04/20 02:46:57	walk
2007/04/23 16:15:08	2007/04/23 16:34:15	walk
2007/04/23 18:03:19	2007/04/23 18:26:56	walk
2007/04/24 12:49:08	2007/04/24 12:54:13	walk
2007/04/24 12:57:12	2007/04/24 13:15:30	bus
2007/04/24 13:15:51	2007/04/24 13:36:07	walk
2007/04/25 02:12:20	2007/04/25 02:16:05	walk
2007/04/25 02:16:54	2007/04/25 02:40:45	bus
2007/04/27 02:07:30	2007/04/27 02:18:46	walk
2007/04/27 02:19:02	2007/04/27 02:42:54	bus
2007/04/27 02:42:56	2007/04/27 02:47:47	walk
2007/04/27 14:00:36	2007/04/27 14:18:31	bus
2007/04/27 14:18:41	2007/04/27 14:36:45	walk
2007/04/28 13:40:38	2007/04/28 13:47:39	bus
2007/04/28 13:48:21	2007/04/28 13:50:26	walk
2007/08/09 10:22:03	2007/08/09 14:59:30	bike
